## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[/home/users/student08/Projet_HPC/results/bowtie2/575/ss_50k_24h_R1_trim_mapped_sorted_q2.bam] OUTPUT=/storage/scratch/student08/659/ss_50k_24h_R1_trim_mapped_marked_sorted.bam METRICS_FILE=/storage/scratch/student08/659/ss_50k_24h_R1_metrics.txt    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false ADD_PG_TAG_TO_READS=true REMOVE_DUPLICATES=false ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Mon Oct 31 15:53:33 UTC 2022

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	12686	830220	1204875	0	7383	24544	0	0,033752	13763294

## HISTOGRAM	java.lang.Double
BIN	VALUE	all_sets	non_optical_sets
1.0	1	785811	785811
2.0	1,941462	16463	16463
3.0	2,827813	1622	1622
4.0	3,662278	568	568
5.0	4,447896	244	244
6.0	5,187525	142	142
7.0	5,883857	58	58
8.0	6,539428	38	38
9.0	7,156623	29	29
10.0	7,737688	17	17
11.0	8,284739	10	10
12.0	8,799767	8	8
13.0	9,284646	5	5
14.0	9,741141	3	3
15.0	10,170914	3	3
16.0	10,575529	2	2
17.0	10,956458	1	1
18.0	11,315089	3	3
19.0	11,652726	0	0
20.0	11,970598	0	0
21.0	12,269863	0	0
22.0	12,55161	0	0
23.0	12,816863	1	1
24.0	13,06659	0	0
25.0	13,301697	0	0
26.0	13,523042	0	0
27.0	13,73143	0	0
28.0	13,927619	0	0
29.0	14,112324	0	0
30.0	14,286217	0	0
31.0	14,44993	0	0
32.0	14,604059	0	0
33.0	14,749167	0	0
34.0	14,88578	0	0
35.0	15,014396	0	0
36.0	15,135483	0	0
37.0	15,249481	0	0
38.0	15,356807	0	0
39.0	15,45785	0	0
40.0	15,552978	0	0
41.0	15,642537	0	0
42.0	15,726854	0	0
43.0	15,806235	0	0
44.0	15,880969	0	0
45.0	15,951329	0	0
46.0	16,01757	0	0
47.0	16,079933	0	0
48.0	16,138645	0	0
49.0	16,193921	0	0
50.0	16,245961	0	0
51.0	16,294954	0	0
52.0	16,34108	0	0
53.0	16,384506	0	0
54.0	16,425389	0	0
55.0	16,463879	0	0
56.0	16,500116	0	0
57.0	16,534232	0	0
58.0	16,566351	0	0
59.0	16,59659	0	0
60.0	16,625058	0	0
61.0	16,65186	0	0
62.0	16,677093	0	0
63.0	16,700849	0	0
64.0	16,723214	0	0
65.0	16,744271	0	0
66.0	16,764094	0	0
67.0	16,782757	0	0
68.0	16,800328	0	0
69.0	16,81687	0	0
70.0	16,832444	0	0
71.0	16,847106	0	0
72.0	16,860909	0	0
73.0	16,873905	0	0
74.0	16,88614	0	0
75.0	16,897659	0	0
76.0	16,908503	0	0
77.0	16,918713	0	0
78.0	16,928325	0	0
79.0	16,937374	0	0
80.0	16,945894	0	0
81.0	16,953915	0	0
82.0	16,961466	0	0
83.0	16,968576	0	0
84.0	16,975269	0	0
85.0	16,98157	0	0
86.0	16,987503	0	0
87.0	16,993088	0	0
88.0	16,998346	0	0
89.0	17,003296	0	0
90.0	17,007957	0	0
91.0	17,012345	0	0
92.0	17,016476	0	0
93.0	17,020365	0	0
94.0	17,024027	0	0
95.0	17,027474	0	0
96.0	17,030719	0	0
97.0	17,033775	0	0
98.0	17,036651	0	0
99.0	17,039359	0	0
100.0	17,041909	0	0

