## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[/home/users/student08/Projet_HPC/results/bowtie2/574/ss_50k_0h_R3_trim_mapped_sorted_q2.bam] OUTPUT=ss_50k_0h_R3_trim_mapped_sorted_q2_nodup.bam METRICS_FILE=ss_50k_0h_R3_trim_mapped_sorted_q2_dups.txt REMOVE_DUPLICATES=true    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false ADD_PG_TAG_TO_READS=true ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Nov 03 10:29:43 UTC 2022

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	27291	716386	881701	0	24244	104208	0	0,159349	2217342

## HISTOGRAM	java.lang.Double
BIN	VALUE	all_sets	non_optical_sets
1.0	1	563926	563926
2.0	1,723913	28769	28769
3.0	2,247964	8132	8132
4.0	2,627332	3979	3979
5.0	2,901961	2245	2245
6.0	3,100769	1362	1362
7.0	3,244689	890	890
8.0	3,348874	596	596
9.0	3,424296	446	446
10.0	3,478894	297	297
11.0	3,518419	252	252
12.0	3,547031	156	156
13.0	3,567744	137	137
14.0	3,582738	95	95
15.0	3,593593	75	75
16.0	3,601451	71	71
17.0	3,607139	46	46
18.0	3,611257	36	36
19.0	3,614238	22	22
20.0	3,616396	23	23
21.0	3,617958	18	18
22.0	3,619089	15	15
23.0	3,619908	9	9
24.0	3,6205	8	8
25.0	3,620929	16	16
26.0	3,62124	11	11
27.0	3,621465	10	10
28.0	3,621628	9	9
29.0	3,621745	12	12
30.0	3,621831	9	9
31.0	3,621892	5	5
32.0	3,621937	7	7
33.0	3,62197	2	2
34.0	3,621993	2	2
35.0	3,62201	3	3
36.0	3,622022	6	6
37.0	3,622031	3	3
38.0	3,622038	2	2
39.0	3,622042	2	2
40.0	3,622046	1	1
41.0	3,622048	0	0
42.0	3,62205	3	3
43.0	3,622051	2	2
44.0	3,622052	0	0
45.0	3,622053	0	0
46.0	3,622053	0	0
47.0	3,622053	1	1
48.0	3,622054	0	0
49.0	3,622054	0	0
50.0	3,622054	1	1
51.0	3,622054	0	0
52.0	3,622054	0	0
53.0	3,622054	0	0
54.0	3,622054	0	0
55.0	3,622054	0	0
56.0	3,622054	0	0
57.0	3,622054	0	0
58.0	3,622054	0	0
59.0	3,622054	0	0
60.0	3,622054	0	0
61.0	3,622054	1	1
62.0	3,622054	0	0
63.0	3,622054	0	0
64.0	3,622054	0	0
65.0	3,622054	0	0
66.0	3,622054	0	0
67.0	3,622054	0	0
68.0	3,622054	0	0
69.0	3,622054	0	0
70.0	3,622054	0	0
71.0	3,622054	0	0
72.0	3,622054	0	0
73.0	3,622054	0	0
74.0	3,622054	0	0
75.0	3,622054	0	0
76.0	3,622054	0	0
77.0	3,622054	0	0
78.0	3,622054	0	0
79.0	3,622054	0	0
80.0	3,622054	0	0
81.0	3,622054	0	0
82.0	3,622054	0	0
83.0	3,622054	0	0
84.0	3,622054	0	0
85.0	3,622054	0	0
86.0	3,622054	0	0
87.0	3,622054	0	0
88.0	3,622054	0	0
89.0	3,622054	0	0
90.0	3,622054	0	0
91.0	3,622054	0	0
92.0	3,622054	0	0
93.0	3,622054	0	0
94.0	3,622054	0	0
95.0	3,622054	0	0
96.0	3,622054	0	0
97.0	3,622054	0	0
98.0	3,622054	0	0
99.0	3,622054	0	0
100.0	3,622054	0	0

